Name, Size of 1000000
lomuto + Always Pick Leftmost on Random data,250620660
lomuto + Always Pick Leftmost on Random data+insertion below 3 once at end,246329990
lomuto + Always Pick Leftmost on Random data+insertion below 5 once at end,244444940
lomuto + Always Pick Leftmost on Random data+insertion below 8 once at end,244739400
lomuto + Always Pick Leftmost on Random data+insertion below 12 once at end,241563140
lomuto + Always Pick Leftmost on Random data+insertion below 18 once at end,243632170
lomuto + Always Pick Leftmost on Random data+insertion below 27 once at end,239902400
lomuto + Always Pick Leftmost on Random data+insertion below 40 once at end,241118090
lomuto + Always Pick Leftmost on Random data+insertion below 59 once at end,245621110
lomuto + Always Pick Leftmost on Random data+insertion below 86 once at end,238966960
lomuto + Always Pick Leftmost on Random data+insertion below 125 once at end,240142230
lomuto + Always Pick Middle on Random data,245590310
lomuto + Always Pick Middle on Random data+insertion below 3 once at end,243421210
lomuto + Always Pick Middle on Random data+insertion below 5 once at end,243845450
lomuto + Always Pick Middle on Random data+insertion below 8 once at end,243812230
lomuto + Always Pick Middle on Random data+insertion below 12 once at end,242686460
lomuto + Always Pick Middle on Random data+insertion below 18 once at end,244489280
lomuto + Always Pick Middle on Random data+insertion below 27 once at end,241364180
lomuto + Always Pick Middle on Random data+insertion below 40 once at end,246140850
lomuto + Always Pick Middle on Random data+insertion below 59 once at end,239597320
lomuto + Always Pick Middle on Random data+insertion below 86 once at end,242824320
lomuto + Always Pick Middle on Random data+insertion below 125 once at end,248838840
lomuto + Always Pick Rightmost on Random data,229625910
lomuto + Always Pick Rightmost on Random data+insertion below 3 once at end,238601940
lomuto + Always Pick Rightmost on Random data+insertion below 5 once at end,237099430
lomuto + Always Pick Rightmost on Random data+insertion below 8 once at end,233948850
lomuto + Always Pick Rightmost on Random data+insertion below 12 once at end,240928260
lomuto + Always Pick Rightmost on Random data+insertion below 18 once at end,227911300
lomuto + Always Pick Rightmost on Random data+insertion below 27 once at end,226625470
lomuto + Always Pick Rightmost on Random data+insertion below 40 once at end,230766850
lomuto + Always Pick Rightmost on Random data+insertion below 59 once at end,233506260
lomuto + Always Pick Rightmost on Random data+insertion below 86 once at end,236760020
lomuto + Always Pick Rightmost on Random data+insertion below 125 once at end,234524230
lomuto + Median Of Three on Random data,240014430
lomuto + Median Of Three on Random data+insertion below 3 once at end,234853260
lomuto + Median Of Three on Random data+insertion below 5 once at end,226586600
lomuto + Median Of Three on Random data+insertion below 8 once at end,225994420
lomuto + Median Of Three on Random data+insertion below 12 once at end,233982800
lomuto + Median Of Three on Random data+insertion below 18 once at end,239104360
lomuto + Median Of Three on Random data+insertion below 27 once at end,225156280
lomuto + Median Of Three on Random data+insertion below 40 once at end,232339060
lomuto + Median Of Three on Random data+insertion below 59 once at end,228824050
lomuto + Median Of Three on Random data+insertion below 86 once at end,226156990
lomuto + Median Of Three on Random data+insertion below 125 once at end,226418730
hoare + Always Pick Leftmost on Random data,58102060
hoare + Always Pick Leftmost on Random data+insertion below 3 once at end,53186040
hoare + Always Pick Leftmost on Random data+insertion below 5 once at end,52188220
hoare + Always Pick Leftmost on Random data+insertion below 8 once at end,52007470
hoare + Always Pick Leftmost on Random data+insertion below 12 once at end,52864460
hoare + Always Pick Leftmost on Random data+insertion below 18 once at end,51587000
hoare + Always Pick Leftmost on Random data+insertion below 27 once at end,50958840
hoare + Always Pick Leftmost on Random data+insertion below 40 once at end,51785600
hoare + Always Pick Leftmost on Random data+insertion below 59 once at end,51296710
hoare + Always Pick Leftmost on Random data+insertion below 86 once at end,49540350
hoare + Always Pick Leftmost on Random data+insertion below 125 once at end,49542420
hoare + Always Pick Middle on Random data,59669010
hoare + Always Pick Middle on Random data+insertion below 3 once at end,57373110
hoare + Always Pick Middle on Random data+insertion below 5 once at end,56923530
hoare + Always Pick Middle on Random data+insertion below 8 once at end,55159560
hoare + Always Pick Middle on Random data+insertion below 12 once at end,53036760
hoare + Always Pick Middle on Random data+insertion below 18 once at end,52680400
hoare + Always Pick Middle on Random data+insertion below 27 once at end,49631470
hoare + Always Pick Middle on Random data+insertion below 40 once at end,49029160
hoare + Always Pick Middle on Random data+insertion below 59 once at end,48911400
hoare + Always Pick Middle on Random data+insertion below 86 once at end,51734010
hoare + Always Pick Middle on Random data+insertion below 125 once at end,50696540
hoare + Always Pick Rightmost on Random data,57830230
hoare + Always Pick Rightmost on Random data+insertion below 3 once at end,57558950
hoare + Always Pick Rightmost on Random data+insertion below 5 once at end,55653270
hoare + Always Pick Rightmost on Random data+insertion below 8 once at end,53674190
hoare + Always Pick Rightmost on Random data+insertion below 12 once at end,50966660
hoare + Always Pick Rightmost on Random data+insertion below 18 once at end,50649360
hoare + Always Pick Rightmost on Random data+insertion below 27 once at end,50360580
hoare + Always Pick Rightmost on Random data+insertion below 40 once at end,50129350
hoare + Always Pick Rightmost on Random data+insertion below 59 once at end,49444420
hoare + Always Pick Rightmost on Random data+insertion below 86 once at end,48680640
hoare + Always Pick Rightmost on Random data+insertion below 125 once at end,48433110
hoare + Median Of Three on Random data,58663690
hoare + Median Of Three on Random data+insertion below 3 once at end,58488890
hoare + Median Of Three on Random data+insertion below 5 once at end,57337200
hoare + Median Of Three on Random data+insertion below 8 once at end,54623580
hoare + Median Of Three on Random data+insertion below 12 once at end,54624050
hoare + Median Of Three on Random data+insertion below 18 once at end,53719970
hoare + Median Of Three on Random data+insertion below 27 once at end,52742110
hoare + Median Of Three on Random data+insertion below 40 once at end,51733970
hoare + Median Of Three on Random data+insertion below 59 once at end,51882440
hoare + Median Of Three on Random data+insertion below 86 once at end,53037850
hoare + Median Of Three on Random data+insertion below 125 once at end,50382930
